scenario_id,mode,focus,status,duration_s,number_of_towers,number_of_assets,physical_tower_count_reported_by_datastore,active_measurement_types,code_row_count_by_signal,two_way_time_transfer_row_count,postfit_residual_count_by_type,mean_NIS_by_type,NEES,position_RMS_m,clock_RMS_m,relative_shape_raw_RMS_m,relative_shape_solved_RMS_m,swarm_gate_flags,DCB_active_flag,higher_order_ionosphere_active_flag,run_order,tw_tag,wall_s,report_wall_s,epoch_count,measurement_row_count_by_type,ekf_update_dimension_by_epoch,accepted_update_count,rejected_update_count,warning_count,matlab_order_note,group_name,mat_path,pdf_path,release_evidence_level,message
runtime_order_contract,runtimeorder,all,pass,120,5,3,NaN,,,NaN,"",,NaN,NaN,NaN,NaN,NaN,"",0,0,TW0 -> TW1 and TW1 -> TW0,,NaN,NaN,NaN,"",,NaN,NaN,NaN,"",,,,reversed-order-runtime,"Runs G5S3R4 twice in each TW order. With WritePdf=false, wall_s is simulation plus MAT overhead and report_wall_s is zero by construction."
runtime_A_TW0_TW1_G5S3R4_TW0,runtimeorder,all,pass,120,5,3,5,code+doppler+carrier+islCode+islDoppler,2 signals x G5 x R4 = 40,0,"federated MAT saves per-asset EKF histories, not full postfit residual vectors",,NaN,81.0704441323032,NaN,10.2599837040876,NaN,"shapeGate=0,relClockGate=0,source=disabled; relClockGate=0",0,0,TW0 -> TW1,TW0,16.4940935,0,121,"code=40,doppler=20,carrier=40,twtt=0,islCode=2,islDoppler=2,islTwoWay=0,total=104; source=config-derived",nominal per-asset rows=104; source=config-derived,363,0,0,"TW0 -> TW1, TW0. PDF disabled, report_wall_s=0; wall_s is simulation plus MAT output in this MATLAB process.",Battery_baseline,/Users/ludwigmatuschka/Library/CloudStorage/OneDrive-Persönlich/Dokumente/ICH/Karriere/Cranfield/IRP/Codes/IRP_Simulation/oo_v1/output/RequiredFixValidation_20260722/runtime_order/A_TW0_TW1/Battery_baseline/Report_ts120_G5S3R4_TW0/Report_ts120_G5S3R4_TW0.mat,,reversed-order-runtime,"reversed-order-runtime G5S3R4_TW0: wall 16.49 s, rows code=40,doppler=20,carrier=40,twtt=0,islCode=2,islDoppler=2,islTwoWay=0,total=104; source=config-derived, epochs 121."
runtime_A_TW0_TW1_G5S3R4_TW1,runtimeorder,all,pass,120,5,3,5,code+doppler+carrier+twoWayTimeTransfer+islCode+islDoppler,2 signals x G5 x R4 = 40,5,"federated MAT saves per-asset EKF histories, not full postfit residual vectors",,NaN,2.32905101460728,NaN,1.34844005228957,NaN,"shapeGate=0,relClockGate=0,source=disabled; relClockGate=0",0,0,TW0 -> TW1,TW1,18.0634083333333,0,121,"code=40,doppler=20,carrier=40,twtt=5,islCode=2,islDoppler=2,islTwoWay=0,total=109; source=config-derived",nominal per-asset rows=109; source=config-derived,363,0,0,"TW0 -> TW1, TW1. PDF disabled, report_wall_s=0; wall_s is simulation plus MAT output in this MATLAB process.",Battery_baseline,/Users/ludwigmatuschka/Library/CloudStorage/OneDrive-Persönlich/Dokumente/ICH/Karriere/Cranfield/IRP/Codes/IRP_Simulation/oo_v1/output/RequiredFixValidation_20260722/runtime_order/A_TW0_TW1/Battery_baseline/Report_ts120_G5S3R4_TW1/Report_ts120_G5S3R4_TW1.mat,,reversed-order-runtime,"reversed-order-runtime G5S3R4_TW1: wall 18.06 s, rows code=40,doppler=20,carrier=40,twtt=5,islCode=2,islDoppler=2,islTwoWay=0,total=109; source=config-derived, epochs 121."
runtime_B_TW1_TW0_G5S3R4_TW1,runtimeorder,all,pass,120,5,3,5,code+doppler+carrier+twoWayTimeTransfer+islCode+islDoppler,2 signals x G5 x R4 = 40,5,"federated MAT saves per-asset EKF histories, not full postfit residual vectors",,NaN,2.32905101460728,NaN,1.34844005228957,NaN,"shapeGate=0,relClockGate=0,source=disabled; relClockGate=0",0,0,TW1 -> TW0,TW1,15.8827245833333,0,121,"code=40,doppler=20,carrier=40,twtt=5,islCode=2,islDoppler=2,islTwoWay=0,total=109; source=config-derived",nominal per-asset rows=109; source=config-derived,363,0,0,"TW1 -> TW0, TW1. PDF disabled, report_wall_s=0; wall_s is simulation plus MAT output in this MATLAB process.",Battery_baseline,/Users/ludwigmatuschka/Library/CloudStorage/OneDrive-Persönlich/Dokumente/ICH/Karriere/Cranfield/IRP/Codes/IRP_Simulation/oo_v1/output/RequiredFixValidation_20260722/runtime_order/B_TW1_TW0/Battery_baseline/Report_ts120_G5S3R4_TW1/Report_ts120_G5S3R4_TW1.mat,,reversed-order-runtime,"reversed-order-runtime G5S3R4_TW1: wall 15.88 s, rows code=40,doppler=20,carrier=40,twtt=5,islCode=2,islDoppler=2,islTwoWay=0,total=109; source=config-derived, epochs 121."
runtime_B_TW1_TW0_G5S3R4_TW0,runtimeorder,all,pass,120,5,3,5,code+doppler+carrier+islCode+islDoppler,2 signals x G5 x R4 = 40,0,"federated MAT saves per-asset EKF histories, not full postfit residual vectors",,NaN,81.0704441323032,NaN,10.2599837040876,NaN,"shapeGate=0,relClockGate=0,source=disabled; relClockGate=0",0,0,TW1 -> TW0,TW0,14.9743191666667,0,121,"code=40,doppler=20,carrier=40,twtt=0,islCode=2,islDoppler=2,islTwoWay=0,total=104; source=config-derived",nominal per-asset rows=104; source=config-derived,363,0,0,"TW1 -> TW0, TW0. PDF disabled, report_wall_s=0; wall_s is simulation plus MAT output in this MATLAB process.",Battery_baseline,/Users/ludwigmatuschka/Library/CloudStorage/OneDrive-Persönlich/Dokumente/ICH/Karriere/Cranfield/IRP/Codes/IRP_Simulation/oo_v1/output/RequiredFixValidation_20260722/runtime_order/B_TW1_TW0/Battery_baseline/Report_ts120_G5S3R4_TW0/Report_ts120_G5S3R4_TW0.mat,,reversed-order-runtime,"reversed-order-runtime G5S3R4_TW0: wall 14.97 s, rows code=40,doppler=20,carrier=40,twtt=0,islCode=2,islDoppler=2,islTwoWay=0,total=104; source=config-derived, epochs 121."
runtime_order_interpretation,runtimeorder,all,pass,120,5,3,NaN,,,NaN,"",,NaN,NaN,NaN,NaN,NaN,"",0,0,TW0 -> TW1 and TW1 -> TW0,,NaN,NaN,NaN,"",,NaN,NaN,NaN,"",,,,runtime-order-interpretation,"mean TW0 15.73 s, mean TW1 16.97 s, delta 7.9%. Do not infer TW1 is physically cheaper from a single order; compare both orders with row counts and PDF disabled."
