matPath,G,S,R,TW,label,nStates,dur_s,measRows,rad_rms,alo_rms,crs_rms,pos3d_rms,rad_final,rad_mean,rad_std,rad_p95,rad_absmax,clk_rms_m,clk_rms_ns,clk_final_m,clk_final_ns,corr_rad_clk,att_estimated,att_rms_deg,att_roll_deg,att_pitch_deg,att_yaw_deg,meanNIS,dofNIS,nisPerDof,physNIS,physDof,physNisPerDof,neesPos,neesClk,cov_rad_pct,sig_rad_final,cov_clk_pct,sig_clk_final_m,vel_rms,vel_final,drift_rms_mps,drift_final_mps,clk_rms_ps,clk_final_ps,nees_pos,nees_vel,nees_clk,nees_att,ratio_pos,ratio_rad,ratio_clk,ratio_vel,ratio_drift,pdop,tdop,gdop,obsRankPhys,obsRankGauge,obsCondPhys,obsCondGauge,settle_s,settle_pos_s
/Users/ludwigmatuschka/Library/CloudStorage/OneDrive-Persönlich/Dokumente/ICH/Karriere/Cranfield/IRP/Codes/IRP_Simulation/oo_v1/output/FrequencyTests/G5S1R4/Battery_realism_5.00#2.10/Report_ts3600_G5S1R4_TW0/Report_ts3600_G5S1R4_TW0.mat,5,1,4,0,S1 real 5.00/2.10,59,3600,100,4.65845372686057,5.79680432497177,8.42998539127305,11.2413871565919,4.06764248276192,2.22796133822324,4.09397432343711,9.1593215513002,10.476053561263,4.66649964807106,15.5657673285132,-3.90791955903876,-13.0354165181793,-0.999980046229219,1,3.64391657716785,3.29629070282007,0.358125980467495,1.51140378654244,140.448094920731,100,1.40448094920731,140.448094920731,87.8933629547348,1.59793743462816,NaN,NaN,100,8.30780491379605,100,9.59710040527092,0.00226125726712915,0.00217609465315275,0.00134247477978958,-0.00125103085721751,15565.7673285132,-13035.4165181793,23.7918601835319,1.10376277736468,0.383485985222033,1.13056192928102,0.868144974207138,1.78338251293415,2.05659512033564,0.750080606364456,1.16199362409846,616.932171642319,612.947149336271,869.66057365157,2,2,5732.96931534846,5732.96931534846,1643,807
/Users/ludwigmatuschka/Library/CloudStorage/OneDrive-Persönlich/Dokumente/ICH/Karriere/Cranfield/IRP/Codes/IRP_Simulation/oo_v1/output/FrequencyTests/G5S1R4/Battery_idealised_6.42#5.92/Report_ts3600_G5S1R4_TW0/Report_ts3600_G5S1R4_TW0.mat,5,1,4,0,S1 ideal 6.42/5.92,59,3600,99,2.09947008851004,3.58250741714993,2.09462888451636,4.65076383084896,0.371275499914125,-1.51739025148452,1.45197297050518,3.53731853219871,4.25854999248691,2.10113789384542,7.00864160447098,-0.387034296753361,-1.29100745007188,-0.999992049022642,1,2.92832543940348,2.68536937563251,0.470578752889702,1.06884836754395,80.1668337371411,99,0.80976599734486,80.1668337371411,97.7814495973341,0.819857284457018,NaN,NaN,100,3.82723098199417,100,4.40226706127125,0.000764367286003067,0.00098497681058574,0.00066873070886151,-0.00104094177295477,7008.64160447098,-1291.00745007188,6.10987774992334,0.870220003111709,0.305825218649645,0.393820223152066,0.986869295846018,1.82295094506933,2.09518236483489,1.66750976455361,1.75687356904087,439.792941414748,436.948753739145,619.953260674928,2,2,4210.71883099717,4210.71883099717,1070,128
/Users/ludwigmatuschka/Library/CloudStorage/OneDrive-Persönlich/Dokumente/ICH/Karriere/Cranfield/IRP/Codes/IRP_Simulation/oo_v1/output/FrequencyTests/G5S1R4/Battery_realism_6.42#5.92/Report_ts3600_G5S1R4_TW0/Report_ts3600_G5S1R4_TW0.mat,5,1,4,0,S1 real 6.42/5.92,59,3600,89,6.89971456027455,5.03918739818661,6.33508235386492,10.6363875012881,8.16451021101868,5.79226583891265,3.75169818807992,11.970243827139,13.4369740016193,6.60650681813817,22.0369346921268,-7.85104055193642,-26.1882523807067,-0.999997127028387,1,2.86484408391055,2.06847246687816,1.86797996330473,0.662875656195271,80.1444981148133,89,0.900499978818127,80.1444981148133,89.5448486531519,0.895020755747208,NaN,NaN,100,5.98703686748543,100,6.94456626811668,0.00311826771969802,0.00342453454765474,0.00212248635077605,-0.00245099414034703,22036.9346921268,-26188.2523807067,15.3212367538353,2.29477530904024,1.10200658394597,0.259893274291536,0.670013161268095,0.867722398540381,1.05117068055547,0.52566997332172,0.707625985384879,545.316812943567,541.801390601515,768.712673244884,2,2,4114.90835583727,4114.90835583727,1907,753
/Users/ludwigmatuschka/Library/CloudStorage/OneDrive-Persönlich/Dokumente/ICH/Karriere/Cranfield/IRP/Codes/IRP_Simulation/oo_v1/output/FrequencyTests/G5S1R4/Battery_idealised_8.40#7.90/Report_ts3600_G5S1R4_TW0/Report_ts3600_G5S1R4_TW0.mat,5,1,4,0,S1 ideal 8.40/7.90,59,3600,97,3.39818983760956,3.44625360183699,2.08387378857928,5.26942957323989,-0.453959467612329,-2.93680097740785,1.71083423124368,5.56276085368576,6.44040304279537,3.37067613374365,11.2433653475821,0.409441787383911,1.36575079345028,-0.999991583674379,1,2.60767414787059,1.38622686687214,2.03789779973255,0.851652565826983,77.4220294594359,97,0.798165252159133,77.4220294594359,95.4926409330741,0.810764355273167,NaN,NaN,100,3.55171671582652,100,4.08535925410549,0.000747498752551202,0.00102315932697337,0.000651212347214082,-0.00108246610045177,11243.3653475821,1365.75079345028,5.82898744429023,0.901214202009476,0.585491980094933,0.646321957604446,0.812753479991852,1.04517901752215,1.21202960237182,1.69220078990161,1.78953617134812,438.031619876732,435.19910928499,617.470619083356,2,2,3957.16082575043,3957.16082575043,1158,128
/Users/ludwigmatuschka/Library/CloudStorage/OneDrive-Persönlich/Dokumente/ICH/Karriere/Cranfield/IRP/Codes/IRP_Simulation/oo_v1/output/FrequencyTests/G5S1R4/Battery_realism_8.40#7.90/Report_ts3600_G5S1R4_TW0/Report_ts3600_G5S1R4_TW0.mat,5,1,4,0,S1 real 8.40/7.90,59,3600,88,7.05291759431175,5.10560188198372,6.69455827103845,10.9830745974794,8.52468758921843,5.04424267586948,4.9328502303102,12.7925255185686,14.1898078514069,6.8324471308137,22.7905904517908,-8.24281766379829,-27.4950801590822,-0.999996224860988,1,4.47673105859827,3.52706148667693,2.54391813447604,1.06275056589148,78.9829670507159,88,0.897533716485408,78.9829670507159,87.9972229936129,0.897562040752681,NaN,NaN,100,5.88509808930806,100,6.82737827916296,0.00376967846825198,0.00415778960469366,0.00275358950073322,-0.00314745481726826,22790.5904517908,-27495.0801590822,16.7067931495858,3.52287439033747,1.66489047589968,0.174509720502003,0.638411325617652,0.834420367261125,0.999258120618616,0.437732457029749,0.550362453375017,543.71130311959,540.206563009144,766.44968035407,2,2,3780.03816907151,3780.03816907151,1937,803
/Users/ludwigmatuschka/Library/CloudStorage/OneDrive-Persönlich/Dokumente/ICH/Karriere/Cranfield/IRP/Codes/IRP_Simulation/oo_v1/output/FrequencyTests/G5S6R4/Battery_idealised_1.58#1.23/Report_ts3600_G5S6R4_TW0/Report_ts3600_G5S6R4_TW0.mat,5,6,4,0,S6 ideal 1.58/1.23,59,3600,110,0.313475763935309,0.0200682025784359,0.143597116541233,0.345383727480771,0.314384549713334,0.313386016430061,0.00750582565836627,0.326538434751101,0.331505867942529,0.00941016539260045,0.0313889330484773,-0.0316650468403906,-0.10562322698722,-0.999979367196155,1,0.105127809524247,0.0903288710926059,0.0510915895210385,0.0167988351594793,99.9700942934315,110,0.908819039031196,99.9700942934315,109.166898083866,0.915754647682956,NaN,NaN,0,0.0545804209171571,100,0.0114164278509245,0.000122053219278796,0.000128141968767251,3.17618088738825e-05,-7.33327417673641e-05,31.3889330484773,-105.62322698722,9.36006270394365,0.856005226772133,0.639560270335329,0.803627835269412,0.213610546499737,0.174113686595627,1.21320161491547,0.847044732348037,1.44036317172296,455.154505222067,452.208754158338,641.606095489586,2,2,4564.78173086179,4564.78173086179,432,1051
/Users/ludwigmatuschka/Library/CloudStorage/OneDrive-Persönlich/Dokumente/ICH/Karriere/Cranfield/IRP/Codes/IRP_Simulation/oo_v1/output/FrequencyTests/G5S6R4/Battery_realism_1.58#1.23/Report_ts3600_G5S6R4_TW0/Report_ts3600_G5S6R4_TW0.mat,5,6,4,0,S6 real 1.58/1.23,59,3600,109,2.02758854757411,0.0964816451237561,1.15531662475423,2.33563278995929,-1.94534290265354,-2.02730847718068,0.0337228988355992,2.05957703858083,2.06181963182847,0.0879236777609608,0.293281820188288,-0.160786533646956,-0.536326146159941,-0.999978665593907,1,3.17641291538243,2.8707752016557,1.14801173014809,0.728229234519854,96.3614362339998,109,0.88404987370642,96.3614362339998,102.044709802833,0.944306044087795,NaN,NaN,0,0.0711025965775554,67.4063800277393,0.0248734674065056,0.000368508705835099,0.000301233117746782,0.000798206693174012,0.000757840860665613,293.281820188288,-536.326146159941,217.959154830142,13.041783629493,25.7326990703164,0.520488035129147,0.0405687450698296,0.0350675666730438,0.282898395971667,0.347702947771229,0.162111605933049,559.63838867025,556.027960552195,788.899372402146,2,2,4788.85380135172,4788.85380135172,314,309
/Users/ludwigmatuschka/Library/CloudStorage/OneDrive-Persönlich/Dokumente/ICH/Karriere/Cranfield/IRP/Codes/IRP_Simulation/oo_v1/output/FrequencyTests/G5S6R4/Battery_idealised_2.11#2.02/Report_ts3600_G5S6R4_TW0/Report_ts3600_G5S6R4_TW0.mat,5,6,4,0,S6 ideal 2.11/2.02,59,3600,101,0.190112810792437,0.0206253456071434,0.1154774458179,0.223390523974141,-0.191312875382612,-0.18977259195733,0.0113764526539811,0.208213182947517,0.213946947595687,0.0122273525346427,0.0407860578488692,-0.0383845855264932,-0.128037195407008,-0.999979195726506,1,0.128256039896136,0.107573222284254,0.0682455070352515,0.0148379374147165,83.2033900032448,101,0.823795940626186,83.2033900032448,100.859761177451,0.824941374358981,NaN,NaN,23.1622746185853,0.0550193102433228,99.5839112343967,0.0123938457067021,0.000147315197488014,0.000122965089362329,4.54138643356903e-05,-0.000131687190436101,40.7860578488692,-128.037195407008,4.77249551572737,0.669575542515029,0.559455996991725,0.695788725699626,0.334706037397582,0.289403486351018,1.01361645307827,1.18064411729026,1.88848222178532,436.22462704523,433.404102819339,614.923606853459,2,2,3564.30160836141,3564.30160836141,410,306
/Users/ludwigmatuschka/Library/CloudStorage/OneDrive-Persönlich/Dokumente/ICH/Karriere/Cranfield/IRP/Codes/IRP_Simulation/oo_v1/output/FrequencyTests/G5S6R4/Battery_realism_2.11#2.02/Report_ts3600_G5S6R4_TW0/Report_ts3600_G5S6R4_TW0.mat,5,6,4,0,S6 real 2.11/2.02,59,3600,93,2.79167334155108,0.0974895609650379,1.52458300596069,3.18234152826001,-2.7439791970756,-2.79154786317516,0.026486723994141,2.83290362334987,2.83650225157683,0.207856770610432,0.693335556194785,-0.295625043476434,-0.986099001451312,-0.999962347225433,1,5.35885329456777,5.02963750722471,1.65529720662073,0.824649220197205,88.2739983080783,93,0.949182777506218,88.2739983080783,95.0958067203555,0.928263835730026,NaN,NaN,0,0.0685683995690797,57.9750346740638,0.0720131872912056,0.000306562486457016,7.56626582932272e-05,0.000854105016150532,0.000819261429344935,693.335556194785,-986.099001451312,403.767446394525,19.4907724477862,50.3263563221221,0.134151113472878,0.028450188553255,0.0245617560437721,0.346455817049971,0.219563936470168,0.099580832595771,542.073178782198,538.579342753589,764.140720180678,2,2,3581.81206685924,3581.81206685924,300,310
/Users/ludwigmatuschka/Library/CloudStorage/OneDrive-Persönlich/Dokumente/ICH/Karriere/Cranfield/IRP/Codes/IRP_Simulation/oo_v1/output/FrequencyTests/G5S6R4/Battery_idealised_5.00#2.10/Report_ts3600_G5S6R4_TW0/Report_ts3600_G5S6R4_TW0.mat,5,6,4,0,S6 ideal 5.00/2.10,59,3600,110,0.355713538702572,0.0197975983223958,0.194080106946654,0.405698353987376,-0.361559430551773,-0.355441270171114,0.0139245825491316,0.377703459142624,0.383374120957663,0.0110761914183973,0.0369461976871923,-0.0389275717579519,-0.129848402517024,-0.999906312731619,1,2.9305395691283,1.62757379504566,1.76123160209557,1.68437791237217,176.22857705788,110,1.60207797325346,176.22857705788,109.166898083866,1.6143041540165,NaN,NaN,0,0.0549139241325779,99.7226074895978,0.0127438367805867,0.000148921921522038,0.000124562394523762,4.67154617754415e-05,-0.000155731813305993,36.9461976871923,-129.848402517024,11.3443369340157,0.701876206590105,0.587064745786085,6.8358627048171,0.184573652130766,0.154376817741801,1.15056126236853,1.18833552393498,1.74854375686982,510.934515670139,507.624523565811,720.233807377602,2,2,4607.77033471862,4607.77033471862,403,301
