matPath,G,S,R,TW,label,nStates,dur_s,measRows,rad_rms,alo_rms,crs_rms,pos3d_rms,rad_final,rad_mean,rad_std,rad_p95,rad_absmax,clk_rms_m,clk_rms_ns,clk_final_m,clk_final_ns,corr_rad_clk,att_rms_deg,att_roll_deg,att_pitch_deg,att_yaw_deg,meanNIS,dofNIS,nisPerDof,physNIS,physDof,physNisPerDof,neesPos,neesClk,cov_rad_pct,sig_rad_final,cov_clk_pct,sig_clk_final_m,pdop,tdop,settle_s
/Users/ludwigmatuschka/Library/CloudStorage/OneDrive-Persönlich/Dokumente/ICH/Karriere/Cranfield/IRP/Codes/IRP_Simulation/oo_v1/output/Report_20260714/Battery_realism_TW/Report_v001_G5S1R1_TW1_RG/Report_v001_ts3600_G5S1R1_TW1_RG.mat,5,1,1,1,G5S1R1-TW1,29,3600,30,1.12571480491924,33.7312882000937,32.0359140402392,46.5335021877076,1.14206690708197,1.12563770517711,0.0131840729479853,1.14568150019853,1.15085581516036,0.180362339614534,0.601624006213438,0.115932551696801,0.386709367107564,0.240335796513021,1.5,1,1,0.5,29.8288003626544,30,0.994293345421812,29.8288003626544,27.5051374618162,1.08448105027884,NaN,NaN,100,0.483832780004857,44.5214979195562,0.043214916184731,1101.30325231137,1094.19632303392,35
/Users/ludwigmatuschka/Library/CloudStorage/OneDrive-Persönlich/Dokumente/ICH/Karriere/Cranfield/IRP/Codes/IRP_Simulation/oo_v1/output/Report_20260714/Battery_realism_TW/Report_v002_G5S1R4_TW1_RG/Report_v002_ts3600_G5S1R4_TW1_RG.mat,5,1,4,1,G5S1R4-TW1,59,3600,104,1.09278393630935,30.250353606447,30.7256581256198,43.1317068674427,1.13563819454075,1.09251316896502,0.0243419167111263,1.13637064306229,1.14262550242513,0.182917455112103,0.610146954104174,0.101686177961938,0.33918857946032,0.276283787588102,4.85915082209432,4.21857313260189,2.32309509674035,0.64669668953096,98.1592511683949,104,0.943838953542259,98.1592511683949,96.6542627048042,1.0155708441767,NaN,NaN,100,0.480670437111086,23.5783633841886,0.0299049064336598,559.63690797232,556.026491257607,69
/Users/ludwigmatuschka/Library/CloudStorage/OneDrive-Persönlich/Dokumente/ICH/Karriere/Cranfield/IRP/Codes/IRP_Simulation/oo_v1/output/Report_20260714/Battery_realism_TW/Report_v003_G5S6R4_TW1_RG/Report_v003_ts3600_G5S6R4_TW1_RG.mat,5,6,4,1,G5S6R4-TW1,59,3600,115,0.574523614930338,0.184636144006825,0.334146030087711,0.689798129317346,0.631176502880183,0.573982756604963,0.0249407694694021,0.6253386966198,0.633084907083914,0.0911542677256429,0.304057908373542,-0.0747681450910704,-0.249399686669471,-0.238810951585083,5.01710081848144,4.50172339511874,2.11648240369421,0.652908363785127,108.217395187708,115,0.941020827719199,108.217395187708,106.334906970286,1.01770338895343,NaN,NaN,0,0.0728092570240804,61.3037447988904,0.0238768403262234,559.639323713546,556.028889971626,125
